Transaction_Id,User_Id,Transaction_Date,Product_Category,Product_Name,Product_Amount,Payment_method,Device_Type,Location
077CFEC0,USER_06829,2023-03-22,Taxi Fare,Share Ride,2014.63,Wallet Balance,Android,Urban
B7CA9F03,USER_04117,2023-01-20,Water Bill,Commercial Property,1296.33,Debit Card,Android,Urban
70F52836,USER_06155,2023-10-24,Electricity Bill,Agricultural Bill,9313.74,Bank Transfer,Android,Rural
D050B5A1,USER_00051,2023-08-14,Bus Ticket,Non-AC Seater,6734.22,Wallet Balance,Android,Urban
D081075A,USER_00930,2023-01-29,Internet Bill,4G Unlimited Plan,1760.92,Bank Transfer,Web,Rural
1D870C66,USER_03591,2023-11-06,Insurance Premium,Health Insurance,5183.52,UPI,Android,Urban
3361B17A,USER_02590,2023-11-21,Internet Bill,Business Internet Plan,8721.2,Credit Card,Android,Urban
A4FE9F29,USER_03043,2023-05-28,Gaming Credits,Legendary Weapon,7975.27,Bank Transfer,Android,Suburban
2AE5A3BB,USER_03935,2023-12-07,Movie Ticket,Baahubali 2,5741.96,UPI,Android,Urban
BD51839F,USER_03336,2023-06-15,Loan Repayment,Business Loan Repayment,2578.28,Bank Transfer,Android,Urban
5C807C66,USER_03325,2023-03-02,Insurance Premium,Travel Insurance,3855.29,UPI,iOS,Urban
F4F1BF20,USER_03528,2023-06-20,Mobile Recharge,Postpaid Plan 599,1446.76,Debit Card,iOS,Suburban
6723EC06,USER_01473,2023-11-15,Gas Bill,Piped Natural Gas,3090.15,Debit Card,Android,Urban
0A446F41,USER_03895,2023-05-17,Water Bill,Tanker Supply,1203.62,Debit Card,Web,Urban
BBC20141,USER_00326,2023-08-19,Grocery Shopping,Dairy Milk Chocolate,372.6,UPI,Android,Suburban
64FB3179,USER_06052,2023-12-13,Movie Ticket,3 Idiots,7393.64,Bank Transfer,Android,Rural
8DD4359A,USER_03700,2023-11-27,Water Bill,Commercial Property,6326.46,UPI,iOS,Suburban
569DCF7A,USER_07984,2023-10-13,Loan Repayment,Education Loan EMI,1044.85,Debit Card,Android,Urban
09C210A8,USER_04870,2023-07-11,Taxi Fare,Rental Package,408.34,Credit Card,Android,Suburban
17EA2A26,USER_04742,2023-09-20,Rent Payment,Co-working Space,8783.03,Bank Transfer,iOS,Rural
8C0D75FF,USER_08741,2023-12-27,Mobile Recharge,Postpaid Plan 599,9654.79,Debit Card,Android,Rural
55C48F2A,USER_07974,2023-08-02,Grocery Shopping,Dairy Milk Chocolate,4910.93,Credit Card,Android,Suburban
877C0FC1,USER_05484,2023-04-21,Food Delivery,Pizza Margherita,7012.4,Wallet Balance,Android,Urban
9B4312A2,USER_07662,2023-10-27,Gas Bill,Piped Natural Gas,6464.24,Debit Card,Web,Urban
20CA6543,USER_01404,2023-01-14,Loan Repayment,Home Loan EMI,9828.97,UPI,Android,Urban
866C66B0,USER_06644,2023-03-27,Taxi Fare,Airport Transfer,4849.13,Bank Transfer,iOS,Urban
783022A5,USER_03963,2023-01-24,Taxi Fare,Outstation Trip,7078.24,Bank Transfer,Android,Urban
3044006D,USER_02160,2023-05-11,Streaming Service,Family Subscription,748.75,Debit Card,Android,Urban
C64C9431,USER_00509,2023-06-18,Internet Bill,Business Internet Plan,615.89,UPI,Android,Urban
5ACA1931,USER_05421,2023-02-06,Taxi Fare,Outstation Trip,96.7,Wallet Balance,Android,Urban
A9356E2D,USER_00536,2023-03-26,Gaming Credits,1000 Game Coins,8716.7,Wallet Balance,Android,Urban
C6DBD684,USER_03732,2023-06-05,Online Shopping,Smart LED TV,3771.14,UPI,Android,Urban
6D684943,USER_00058,2023-08-28,Grocery Shopping,Whole Wheat Atta,6031.6,UPI,Android,Urban
D3495957,USER_01431,2023-10-08,Electricity Bill,Residential Bill,8108.09,Wallet Balance,Android,Urban
5AA196DF,USER_01569,2023-02-30,Water Bill,Industrial Use,3424.46,UPI,Web,Suburban
373E20B9,USER_09093,2023-09-27,Internet Bill,4G Unlimited Plan,2896.65,Debit Card,iOS,Urban
8201B4A9,USER_08679,2023-12-22,Gas Bill,Auto LPG,9067.49,Debit Card,Android,Suburban
6EA4A826,USER_03820,2023-05-12,Streaming Service,Standard Plan,1188.69,UPI,Android,Suburban
23B2FCB6,USER_03468,2023-10-11,Rent Payment,1BHK Apartment Rent,2938.73,Bank Transfer,iOS,Suburban
10B08A73,USER_02224,2023-02-03,Mobile Recharge,Postpaid Plan 599,2189.95,UPI,Android,Urban
BFA9798A,USER_04519,2023-06-07,Gift Card,Rs. 1000 Shopping Voucher,4691.67,Debit Card,Android,Suburban
93778797,USER_00916,2023-02-10,Food Delivery,Vegetable Biryani,857.92,Credit Card,Android,Urban
666D31DA,USER_06348,2023-12-16,Online Shopping,Fitness Tracker,8391.75,Bank Transfer,Android,Urban
C3FFD155,USER_01868,2023-04-24,Water Bill,Commercial Property,9128.09,Debit Card,Web,Urban
5BFA32C5,USER_00724,2023-09-18,Movie Ticket,3 Idiots,3426.77,Debit Card,Android,Urban
2A9477E4,USER_09458,2023-08-23,Streaming Service,Standard Plan,8125.43,Bank Transfer,Android,Rural
CC0BA380,USER_06794,2023-05-21,Movie Ticket,Baahubali 2,6496.05,Bank Transfer,Web,Urban
937EA2BC,USER_01317,2023-12-03,Movie Ticket,Baahubali 2,1422.16,Debit Card,Web,Urban
F94EFC68,USER_02077,2023-09-15,Flight Booking,Chennai to Hyderabad,7018.18,Credit Card,Android,Urban
0F0EE41A,USER_06845,2023-07-26,Insurance Premium,Travel Insurance,7061.81,Debit Card,Android,Urban
A0FBBFF8,USER_02524,2023-07-26,Electricity Bill,Industrial Bill,4136.44,Bank Transfer,Android,Urban
E204F872,USER_05459,2023-12-14,Loan Repayment,Home Loan EMI,4527.36,Debit Card,Android,Urban
FE525678,USER_06965,2023-01-11,Loan Repayment,Business Loan Repayment,7892.35,Debit Card,iOS,Urban
B2C258BB,USER_02936,2023-09-04,Mobile Recharge,Data Pack 50GB,2668.82,UPI,Android,Urban
D897B708,USER_00889,2023-12-01,Education Fee,MBA Entrance Prep,8739.5,Bank Transfer,iOS,Urban
7B68998F,USER_02268,2023-09-28,Flight Booking,Ahmedabad to Jaipur,5080.37,Credit Card,iOS,Urban
6FAEF832,USER_06110,2023-10-12,Mobile Recharge,Annual Plan 2999,8451.05,Credit Card,Android,Urban
46447C57,USER_06578,2023-12-21,Bus Ticket,Volvo Multi-Axle,12.86,Credit Card,Web,Urban
DBDD2A0C,USER_03529,2023-10-22,Grocery Shopping,Whole Wheat Atta,1445.33,Credit Card,iOS,Urban
4CF9C225,USER_03485,2023-05-29,Water Bill,Industrial Use,3635.8,Credit Card,Android,Urban
722ACC23,USER_00515,2023-02-15,Internet Bill,Student Special Plan,9480.13,Credit Card,Android,Urban
47C2AA95,USER_02129,2023-11-26,Bus Ticket,AC Seater,7517.7,Wallet Balance,Android,Urban
9D9503CD,USER_08642,2023-03-14,Internet Bill,4G Unlimited Plan,2207.77,Wallet Balance,iOS,Suburban
4EF97D92,USER_00975,2023-12-06,Food Delivery,Butter Chicken,3366.31,Bank Transfer,Android,Urban
76411EB6,USER_06105,2023-05-16,Rent Payment,2BHK Flat Deposit,1238.04,UPI,iOS,Suburban
83719B09,USER_05483,2023-11-29,Streaming Service,Basic Plan,6361.03,Debit Card,Android,Suburban
C62A1A6C,USER_03020,2023-08-08,Food Delivery,Masala Dosa,2966.49,Bank Transfer,Web,Urban
EEF0EC78,USER_00836,2023-07-10,Food Delivery,Pizza Margherita,8591.59,Credit Card,Android,Urban
BC531E39,USER_09219,2023-07-28,Education Fee,MBA Entrance Prep,4804.37,UPI,Android,Urban
6F247193,USER_02867,2023-12-30,Water Bill,Tanker Supply,7572.76,UPI,iOS,Suburban
8C5F4FA8,USER_08415,2023-02-01,Streaming Service,Premium Plan,5841.56,Debit Card,Web,Urban
29F43AE0,USER_00933,2023-12-15,Electricity Bill,Agricultural Bill,5060.4,Bank Transfer,Web,Urban
69852DA3,USER_00664,2023-11-21,Education Fee,MBA Entrance Prep,6696.57,Bank Transfer,Android,Rural
E6B75594,USER_06850,2023-03-12,Water Bill,Commercial Property,6139.37,Credit Card,Android,Urban
E4E06D74,USER_09242,2023-04-20,Mobile Recharge,Family Plan 999,311.14,Debit Card,iOS,Urban
6CD180F1,USER_06733,2023-02-16,Grocery Shopping,Basmati Rice,4241.54,Credit Card,iOS,Urban
56DF4426,USER_01196,2023-11-09,Grocery Shopping,Dairy Milk Chocolate,9425.57,Credit Card,Android,Urban
824F8B67,USER_02750,2023-03-27,Gift Card,Rs. 500 E-Gift Card,2356.93,Debit Card,Android,Urban
FA48C4E7,USER_05320,2023-06-05,Online Shopping,Smart LED TV,7395.31,Debit Card,Android,Suburban
92BFC69E,USER_09262,2023-04-19,Electricity Bill,Commercial Bill,7602.07,UPI,iOS,Urban
8D1428CB,USER_06818,2023-12-29,Streaming Service,Family Subscription,6337.18,Credit Card,iOS,Rural
BFFF01FD,USER_01268,2023-01-21,Taxi Fare,City Ride,3692.3,Bank Transfer,iOS,Urban
0417B394,USER_09924,2023-08-16,Grocery Shopping,Basmati Rice,1142.21,Wallet Balance,Android,Urban
06CE6A70,USER_07258,2023-08-27,Education Fee,Python Programming Course,285.88,UPI,Android,Urban
3A534CAF,USER_09996,2023-11-12,Gas Bill,Auto LPG,4850.57,Wallet Balance,iOS,Suburban
2ABE84F3,USER_03718,2023-06-07,Gift Card,Rs. 2000 Gift Voucher,2561.56,Credit Card,iOS,Urban
2C46AB5A,USER_02774,2023-11-02,Mobile Recharge,Postpaid Plan 599,7444.55,Bank Transfer,iOS,Suburban
8D3FCFF9,USER_02811,2023-09-27,Streaming Service,Basic Plan,4107.54,Wallet Balance,Android,Urban
AADCDECC,USER_02102,2023-03-20,Gift Card,Rs. 2000 Gift Voucher,8138.42,Wallet Balance,iOS,Suburban
16F56A5F,USER_09149,2023-02-29,Taxi Fare,Share Ride,7753.32,Debit Card,iOS,Suburban
244F408A,USER_02898,2023-03-28,Electricity Bill,Residential Bill,401.62,Credit Card,Web,Urban
846463D6,USER_03240,2023-01-20,Gaming Credits,1000 Game Coins,9798.21,Bank Transfer,iOS,Urban
FBDE7F5E,USER_02003,2023-11-17,Insurance Premium,Home Insurance,3219.31,Wallet Balance,iOS,Urban
6864B904,USER_00265,2023-05-28,Loan Repayment,Business Loan Repayment,7838.24,Debit Card,iOS,Urban
B68C74D4,USER_02119,2023-10-29,Loan Repayment,Education Loan EMI,9563.15,Bank Transfer,Android,Urban
1B8A151B,USER_09176,2023-10-28,Mobile Recharge,Data Pack 50GB,8770.44,UPI,Android,Urban
86586CED,USER_01496,2023-02-23,Taxi Fare,Share Ride,5436.1,Wallet Balance,iOS,Urban
CD843CC4,USER_05834,2023-04-15,Gaming Credits,Legendary Weapon,2008.49,Credit Card,Web,Urban
78B81362,USER_00028,2023-02-28,Insurance Premium,Motor Insurance,159.65,Bank Transfer,Android,Urban
475AE117,USER_05235,2023-07-07,Online Shopping,Laptop Backpack,9479.03,UPI,Android,Urban
17644A73,USER_01438,2023-11-08,Streaming Service,Basic Plan,808.63,UPI,iOS,Urban
1FC9B5E7,USER_00531,2023-07-13,Electricity Bill,Residential Bill,4637.33,Debit Card,Android,Suburban
1BAA999E,USER_02780,2023-06-24,Flight Booking,Pune to Goa,6639.25,Wallet Balance,Android,Urban
228847CC,USER_09440,2023-09-24,Food Delivery,Butter Chicken,4260.66,Wallet Balance,Android,Suburban
53DC933F,USER_01017,2023-08-18,Hotel Booking,Deluxe Room,8409.93,Wallet Balance,Android,Urban
C53C8F5C,USER_00037,2023-01-10,Internet Bill,Business Internet Plan,5217.66,Wallet Balance,iOS,Suburban
4C90BB3B,USER_07960,2023-07-13,Mobile Recharge,Data Pack 50GB,4156.3,Credit Card,Android,Suburban
8C4A1DA4,USER_03376,2023-02-24,Water Bill,Commercial Property,8952.34,Credit Card,Web,Urban
C88EF3ED,USER_05098,2023-04-06,Loan Repayment,Home Loan EMI,8459.5,Debit Card,Android,Rural
94E74A34,USER_05169,2023-11-07,Mobile Recharge,Family Plan 999,7881.82,Credit Card,Android,Urban
71F60E3C,USER_09907,2023-10-04,Electricity Bill,Commercial Bill,1377.65,UPI,iOS,Urban
9A4EDA85,USER_00371,2023-06-02,Hotel Booking,Deluxe Room,2910.3,UPI,Android,Urban
318775F8,USER_06230,2023-09-04,Internet Bill,4G Unlimited Plan,7160.72,UPI,iOS,Urban
FA69B2AB,USER_04371,2023-06-13,Gaming Credits,Battle Pass,5617.83,UPI,Android,Suburban
4D1FD4C1,USER_02079,2023-04-06,Education Fee,MBA Entrance Prep,1131.67,Bank Transfer,Web,Suburban
22D07DF2,USER_06707,2023-06-01,Loan Repayment,Personal Loan Payment,9082.41,Bank Transfer,iOS,Urban
E99BF8EE,USER_01234,2023-06-28,Streaming Service,Premium Plan,5324.86,UPI,Android,Rural
30C5A168,USER_09491,2023-04-04,Loan Repayment,Car Loan Installment,2386.99,UPI,Android,Urban
2D139EDB,USER_06445,2023-06-01,Online Shopping,Smart LED TV,856.1,Bank Transfer,Android,Rural
13E57DFD,USER_05897,2023-07-21,Gift Card,Rs. 500 E-Gift Card,306.79,Wallet Balance,iOS,Urban
FB5D8EE8,USER_08042,2023-05-28,Internet Bill,Student Special Plan,1197.19,Wallet Balance,Android,Urban
0FA3EAD3,USER_09116,2023-03-09,Education Fee,IELTS Training,1136.18,Debit Card,Android,Urban
1E6B10B2,USER_08946,2023-03-05,Gift Card,Rs. 5000 Luxury Card,9532.34,Debit Card,Android,Urban
FE9560E5,USER_00408,2023-04-26,Electricity Bill,Temporary Connection Bill,1266.71,Debit Card,Android,Rural
D5EFE40C,USER_04676,2023-11-18,Online Shopping,Smart LED TV,8304.95,Credit Card,Android,Urban
D0BEFA55,USER_09923,2023-02-19,Gas Bill,Industrial Gas Supply,8833.85,Credit Card,Android,Urban
C0559EC4,USER_01043,2023-02-01,Gaming Credits,Premium Skin,4931.17,Wallet Balance,Android,Rural
8FEFF990,USER_06172,2023-12-22,Flight Booking,Delhi to Mumbai,7373.47,Debit Card,Android,Urban
0D709859,USER_01705,2023-04-13,Loan Repayment,Personal Loan Payment,4045.53,Bank Transfer,Android,Urban
F9CA2B21,USER_05568,2023-01-11,Gift Card,Rs. 5000 Luxury Card,3895.7,Wallet Balance,iOS,Urban
86F27294,USER_00301,2023-12-08,Education Fee,MBA Entrance Prep,5909.45,Credit Card,iOS,Urban
AAEDAE88,USER_06067,2023-08-23,Bus Ticket,Volvo Multi-Axle,1617.22,Bank Transfer,iOS,Urban
1D91A53A,USER_03315,2023-07-04,Internet Bill,Broadband 50Mbps Plan,1362.66,Wallet Balance,Android,Urban
567BB0E2,USER_00414,2023-05-16,Online Shopping,Fitness Tracker,4473.63,UPI,iOS,Urban
C65659B7,USER_07678,2023-08-02,Gas Bill,Auto LPG,5756.92,UPI,Android,Suburban
7A92C0A1,USER_02353,2023-10-22,Flight Booking,Chennai to Hyderabad,4832.85,Wallet Balance,Android,Urban
3CFE96D8,USER_05321,2023-04-25,Gaming Credits,Premium Skin,2981.17,Wallet Balance,Android,Urban
4DC2AC6E,USER_08451,2023-12-12,Grocery Shopping,Dairy Milk Chocolate,1166.92,UPI,Android,Urban
D6CC8337,USER_02656,2023-12-15,Insurance Premium,Motor Insurance,2237.63,Credit Card,iOS,Urban
E24D36E9,USER_08017,2023-02-20,Gift Card,Rs. 2000 Gift Voucher,598.18,Credit Card,iOS,Urban
A98EFD29,USER_02075,2023-12-14,Rent Payment,PG Accommodation,9274.76,Wallet Balance,Android,Suburban
DBE6994A,USER_08782,2023-09-04,Internet Bill,Broadband 50Mbps Plan,9477.5,Wallet Balance,iOS,Rural
E8FB8C65,USER_08433,2023-06-19,Online Shopping,Laptop Backpack,5155.7,Bank Transfer,iOS,Urban
FD2B1891,USER_04308,2023-06-10,Food Delivery,Masala Dosa,372.37,UPI,iOS,Urban
0818BADE,USER_08211,2023-11-19,Gaming Credits,Battle Pass,8107.72,Bank Transfer,iOS,Urban
23367A30,USER_06373,2023-10-12,Loan Repayment,Personal Loan Payment,9491.63,Bank Transfer,Android,Rural
FDDC8A9F,USER_00698,2023-08-04,Gas Bill,Piped Natural Gas,3218.18,Credit Card,iOS,Urban
73F30F4C,USER_04926,2023-02-21,Education Fee,IELTS Training,3589.73,Bank Transfer,Android,Urban
3F9F4DA0,USER_01698,2023-11-26,Education Fee,Python Programming Course,5864.16,UPI,Web,Urban
53E8F8AE,USER_00532,2023-09-24,Food Delivery,Butter Chicken,945.04,Wallet Balance,Android,Urban
088A744F,USER_05398,2023-04-17,Taxi Fare,Airport Transfer,3652.06,Bank Transfer,Android,Urban
FA2E1F4D,USER_02641,2023-11-04,Hotel Booking,Deluxe Room,3555.68,Debit Card,iOS,Urban
E1D470DD,USER_01608,2023-07-14,Flight Booking,Bangalore to Kolkata,5752.3,Bank Transfer,Android,Urban
3661758F,USER_03541,2023-03-15,Water Bill,Borewell Charges,2638.98,UPI,iOS,Urban
1F6334E3,USER_05974,2023-11-14,Hotel Booking,Service Apartment,3920.15,Credit Card,Android,Urban
53F311EC,USER_09037,2023-09-13,Water Bill,Borewell Charges,3677.16,Credit Card,Android,Suburban
4074FC74,USER_05270,2023-04-08,Mobile Recharge,Family Plan 999,8516.79,Bank Transfer,Android,Urban
910A901A,USER_01958,2023-01-27,Flight Booking,Ahmedabad to Jaipur,2380.44,Credit Card,iOS,Suburban
DAB8DB8E,USER_00886,2023-05-09,Gift Card,Rs. 2000 Gift Voucher,6063.0,Bank Transfer,Android,Urban
D200257D,USER_00898,2023-01-02,Flight Booking,Bangalore to Kolkata,1902.67,Credit Card,iOS,Rural
331661A8,USER_08809,2023-01-18,Food Delivery,Pizza Margherita,3754.59,Credit Card,iOS,Urban
CD6A779A,USER_00654,2023-10-10,Gas Bill,Auto LPG,6107.51,Bank Transfer,iOS,Urban
A9351C6C,USER_02819,2023-05-13,Bus Ticket,Sleeper Class,428.94,Bank Transfer,Android,Suburban
5A108E4B,USER_05547,2023-01-24,Streaming Service,Basic Plan,682.42,Credit Card,Android,Suburban
7D5DDF66,USER_05720,2023-09-07,Electricity Bill,Commercial Bill,8583.88,Debit Card,iOS,Urban
058012AA,USER_04638,2023-11-25,Flight Booking,Chennai to Hyderabad,9212.94,Wallet Balance,iOS,Urban
A5980A25,USER_09003,2023-05-25,Gas Bill,Industrial Gas Supply,916.85,Wallet Balance,iOS,Urban
BBFFEE66,USER_08645,2023-12-07,Gas Bill,Piped Natural Gas,1648.58,UPI,Android,Urban
DE7EB810,USER_08934,2023-11-05,Hotel Booking,Dormitory Bed,2443.03,Debit Card,Android,Urban
3D14C507,USER_00514,2023-09-10,Mobile Recharge,Prepaid Plan 399,6962.62,UPI,Android,Urban
543A8050,USER_02294,2023-10-05,Insurance Premium,Health Insurance,377.52,Wallet Balance,iOS,Urban
030D2EF3,USER_03312,2023-12-17,Online Shopping,Wireless Earbuds,8153.9,Debit Card,Android,Suburban
355C6A4C,USER_02074,2023-11-24,Online Shopping,Wireless Earbuds,9726.17,Debit Card,Android,Urban
300DBBE9,USER_05613,2023-02-30,Streaming Service,Student Offer,6574.17,Debit Card,iOS,Urban
AA200192,USER_01587,2023-06-01,Electricity Bill,Temporary Connection Bill,2735.56,Wallet Balance,Android,Urban
22E3DEDE,USER_06019,2023-10-12,Movie Ticket,3 Idiots,2295.83,Bank Transfer,iOS,Urban
32B6D29E,USER_01432,2023-04-10,Bus Ticket,Semi-Sleeper,3760.0,Bank Transfer,Android,Urban
E445A4EF,USER_08132,2023-05-24,Streaming Service,Standard Plan,8716.43,Bank Transfer,Web,Urban
1DB3F7BB,USER_05470,2023-03-07,Electricity Bill,Industrial Bill,6195.65,Debit Card,Android,Urban
0C6BBAC9,USER_05934,2023-01-10,Hotel Booking,Suite,4332.15,UPI,iOS,Rural
850423DE,USER_03232,2023-12-24,Gas Bill,Piped Natural Gas,1447.42,Bank Transfer,Android,Urban
D98C0335,USER_01357,2023-10-18,Streaming Service,Family Subscription,66.4,Wallet Balance,Android,Suburban
45A29B4F,USER_03739,2023-05-19,Insurance Premium,Term Life Policy,7631.8,Debit Card,Android,Urban
DA115F81,USER_02393,2023-06-14,Online Shopping,Smart LED TV,7364.1,UPI,Web,Rural
DDC35854,USER_09084,2023-01-03,Bus Ticket,Volvo Multi-Axle,2920.61,Bank Transfer,Android,Urban
414A2ADE,USER_03612,2023-12-15,Hotel Booking,Deluxe Room,6417.39,UPI,Android,Urban
06F2E884,USER_09761,2023-03-11,Education Fee,Digital Marketing Certification,2173.06,UPI,Android,Urban
202331F4,USER_02259,2023-03-29,Gift Card,Rs. 2000 Gift Voucher,3366.2,Wallet Balance,Web,Urban
8C00CBAA,USER_01625,2023-05-02,Rent Payment,PG Accommodation,7496.7,Credit Card,Android,Rural
0C7AB0CF,USER_07297,2023-11-14,Mobile Recharge,Prepaid Plan 399,8172.63,Credit Card,Android,Urban
6EE77766,USER_03619,2023-08-04,Water Bill,Commercial Property,4275.89,UPI,iOS,Urban
CD4811F6,USER_00638,2023-08-19,Movie Ticket,PK,5413.79,Credit Card,Android,Urban
EF251056,USER_05831,2023-12-21,Electricity Bill,Residential Bill,3969.47,UPI,Android,Suburban
30FBD85D,USER_08615,2023-04-30,Food Delivery,Chilli Paneer,2385.83,Bank Transfer,Android,Urban
A6DCCF18,USER_02212,2023-09-17,Gas Bill,Auto LPG,836.49,Bank Transfer,iOS,Suburban
545C79A8,USER_03802,2023-10-08,Streaming Service,Premium Plan,4402.89,Bank Transfer,Android,Suburban
7260B278,USER_02110,2023-08-16,Hotel Booking,Dormitory Bed,7514.41,Credit Card,Android,Rural
BCA4E221,USER_08040,2023-04-20,Insurance Premium,Health Insurance,8498.91,Bank Transfer,Android,Urban
7180C8BE,USER_00129,2023-05-26,Food Delivery,Vegetable Biryani,1786.58,Debit Card,iOS,Urban
17968740,USER_03360,2023-02-26,Education Fee,Digital Marketing Certification,1235.83,Bank Transfer,iOS,Urban
BEFC7860,USER_04883,2023-11-23,Gaming Credits,500 Gems Pack,4687.13,Bank Transfer,Android,Urban
8ACA17C9,USER_01936,2023-07-11,Hotel Booking,Villa,4701.07,Wallet Balance,iOS,Rural
2FB9233B,USER_08983,2023-06-23,Insurance Premium,Travel Insurance,5165.97,Debit Card,Android,Urban
1E037915,USER_06197,2023-05-13,Hotel Booking,Suite,1374.3,Debit Card,Android,Urban
9BC8B2DD,USER_02530,2023-03-08,Flight Booking,Delhi to Mumbai,933.09,UPI,Android,Urban
534FBD9E,USER_07797,2023-04-18,Mobile Recharge,Annual Plan 2999,9254.17,UPI,Android,Rural
21F6F00E,USER_03907,2023-10-04,Online Shopping,Steel Toe Shoes,1033.68,UPI,Web,Urban
027645A5,USER_01658,2023-03-17,Grocery Shopping,Basmati Rice,5652.04,Credit Card,iOS,Urban
E889545C,USER_04724,2023-04-15,Online Shopping,Laptop Backpack,6993.78,UPI,Android,Urban
F5878FD7,USER_02766,2023-08-25,Loan Repayment,Home Loan EMI,8134.71,Debit Card,iOS,Urban
BE7FFBF2,USER_03998,2023-07-13,Rent Payment,Co-working Space,2693.45,Wallet Balance,iOS,Urban
21BCF7DA,USER_08369,2023-06-10,Electricity Bill,Temporary Connection Bill,936.51,Debit Card,Web,Urban
E5AEF394,USER_00056,2023-09-27,Bus Ticket,AC Seater,3513.9,Debit Card,Android,Urban
174B3750,USER_02349,2023-12-03,Electricity Bill,Agricultural Bill,4792.41,Debit Card,Web,Rural
79183AA4,USER_00676,2023-01-21,Bus Ticket,Volvo Multi-Axle,3228.53,UPI,iOS,Suburban
0268C0FE,USER_02402,2023-09-28,Gas Bill,Auto LPG,8328.33,UPI,Android,Urban
D0FF80DF,USER_05241,2023-11-10,Food Delivery,Vegetable Biryani,1709.78,Bank Transfer,iOS,Urban
8D30168E,USER_03498,2023-12-26,Movie Ticket,Baahubali 2,2348.45,Debit Card,Android,Suburban
08727B35,USER_03413,2023-12-05,Insurance Premium,Health Insurance,4571.47,Debit Card,iOS,Urban
BBD67CBE,USER_00427,2023-02-21,Internet Bill,Student Special Plan,853.06,Credit Card,Web,Rural
F82C7CF2,USER_07915,2023-06-05,Online Shopping,Smart LED TV,420.58,Credit Card,Android,Urban
